Artifact role,Project-relative path,SHA-256,Purpose
default_summary_manifest,data\derived\donor_module_effect_summary\run_manifest.json,18d7f69cc4be80107c947b7353cea5497eaee0794f8b4855f7c1c27ff63d6feb,Default 20-effect contract and input/output hashes.
default_summary_artifacts,data\derived\donor_module_effect_summary\run_artifacts.csv,9b893011ec7580a13b6d10a4435b87eef53aed1d70e5025b3a8c5455c3a752a5,Default current-run artifact ledger.
default_score_identity_crosswalk,data\derived\donor_module_effect_summary\score_ledger_identity_crosswalk.csv,fc3080baedf3b562f2ce20a9e677d5cff1a3b01ab81a114163c4cd072e557c77,55/55 exact score-to-ledger matching audit.
locked_program_ledger,data\derived\program_module_ledger.csv,35a01e41a862b6c25638fc02bbfb35a6d2f285f07098a17e6adf082bb5d7f9e0,"Gene lists, source identifiers, locking time, and SHA-256 hashes."
discovery_threshold_input_hashes,data\derived\discovery_retained_cell_sensitivity\input_artifact_hashes.csv,7fe11f0bc46db9012c1fc73e7e8aaed4a910983da29f4147f06cda34682a65a7,Threshold sensitivity input hashes.
gse251686_exploratory_manifest,data\derived\GSE251686_exploratory_scores\run_manifest.json,d57d655936c1213f6b2d14141c423c698290b393549eaf6c019eb9d1bdc3e497,Separate exploratory package; excluded from default summary.
gse251686_supplement_manifest,results\supplementary_tables\run_manifest.json,1621e38f5877be7b19cc0900df662ab390bb88041086bd058527ea06cd4f9842,Separate GSE251686 sensitivity table/figure contract.
s7_exploratory_meta_analysis_manifest,data\derived\np_exploratory_meta_analysis\meta_analysis_manifest.json,9da7336977aa2315c435335d2ba8ec0dfbbeefd4c933488b8a65fc826896d289,Separate four-cohort exploratory SMDH random-effects synthesis; non-confirmatory.
s8_post_hoc_external_expansion_manifest,data\derived\np_post_hoc_external_expansion_meta_analysis\meta_analysis_manifest.json,4b362ace3c1dc21c25976d68f42f8f936bdf94a6d6a429e421c4ef0270854964,Separate post hoc six-cohort SMDH random-effects expansion; non-confirmatory.
s9_source_family_replacement_manifest,data\derived\np_source_family_replacement_meta_analysis\meta_analysis_manifest.json,4538b83ca7f8b32061a2b870ea2ea42910db6694c8d4f30995d4d8ccf71c9b63,Separate source-family replacement SMDH random-effects sensitivity; non-confirmatory.
main_deliverables_script,scripts\make_current_summary_deliverables.py,e854450eb9e974ea01a5f87e96ff347b65fbe7cff46265306c38475d54d8037d,Generator for the two main tables and four main figure files.
submission_support_script,scripts\make_submission_support_deliverables.py,c6fad7fbf92705ccc950faa6b46110987a1dde316eabc6b3bc59e48e058ff62b,"Generator for the submission-support tables, workflow figure, and graphical abstract."
gse251686_supplement_script,scripts\make_gse251686_supplement.py,db51ca96af7e2f69c85adfbe1059f865113c586bffbbbc8c07d8fa4463585a6b,Generator for the isolated GSE251686 supplementary sensitivity table and figure.
s7_meta_analysis_script,scripts\run_np_exploratory_meta_analysis.R,0391baa0618fd2e8e7cefd4d311a428d965b53cfa326ca9bfd3d53a0f740aa80,Generator for the separate S7 exploratory random-effects synthesis.
s8_s9_meta_analysis_script,scripts\run_np_post_hoc_external_expansion_meta_analysis.R,d2a69b933867cb1fcfd3a6c2b34c220a7e2b2e5a012402c6813a9278273ba73e,Generator for the separate S8 expansion and S9 replacement sensitivity.
python_environment_lock,tools\python\requirements-lock.txt,d671880afaef79b564dd43f86a2fbfa63f3970421e48adf9cae853cd47930d04,Project-local Python package lock.
