cohort_id,cohort_role,analysis_role,inference_key_type,compartment,module_id,severity_orientation,contrast_label,severity_group,contrast_arm,n_donor_or_library_keys,mean_module_score_log1p_cpm,sd_module_score_log1p_cpm,median_module_score_log1p_cpm,min_module_score_log1p_cpm,max_module_score_log1p_cpm,mean_ci_lower,mean_ci_upper,mean_ci_status,median_included_cells,min_included_cells,max_included_cells,median_total_umi_included_cells,analysis_note
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,disc_matrix_homeostasis,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,advanced_degeneration_associated,target,10,2.94991683,0.96943867,2.54100815,2.08280226,5.12105573,2.25642218,3.64341148,available_t,2908.000,471.000,8150.000,48359451.500,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,disc_matrix_homeostasis,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,healthy_low_grade,comparison,3,2.33123559,0.46237076,2.20520678,1.94494579,2.84355421,1.18264295,3.47982823,available_t,6725.000,4518.000,7577.000,101954698.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,ecm_collagen_remodeling,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,advanced_degeneration_associated,target,10,4.86025848,0.70396282,5.05045206,3.47621427,5.44187042,4.35667382,5.36384315,available_t,2908.000,471.000,8150.000,48359451.500,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,ecm_collagen_remodeling,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,healthy_low_grade,comparison,3,5.24876010,0.22219150,5.16871549,5.07768123,5.49988358,4.69680583,5.80071437,available_t,6725.000,4518.000,7577.000,101954698.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,advanced_degeneration_associated,target,10,5.02968489,0.13831243,5.06244869,4.77943032,5.22762495,4.93074213,5.12862764,available_t,2908.000,471.000,8150.000,48359451.500,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,healthy_low_grade,comparison,3,5.03509832,0.20049792,4.92076477,4.91792262,5.26660756,4.53703387,5.53316277,available_t,6725.000,4518.000,7577.000,101954698.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,advanced_degeneration_associated,target,10,2.34116490,0.17300737,2.31809723,2.16790354,2.68538306,2.21740288,2.46492691,available_t,2908.000,471.000,8150.000,48359451.500,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,inflammatory_nfkb,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,healthy_low_grade,comparison,3,2.34861212,0.20880597,2.34897921,2.13962285,2.55723430,1.82990934,2.86731490,available_t,6725.000,4518.000,7577.000,101954698.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,advanced_degeneration_associated,target,8,1.98518521,0.33027479,1.96032179,1.61841100,2.37996178,1.70906858,2.26130184,available_t,2894.500,1376.000,13748.000,65276288.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,NP,disc_matrix_homeostasis,higher_severity_minus_lower_severity,advanced_degeneration_associated_minus_healthy_low_grade,healthy_low_grade,comparison,3,1.93192953,0.67048991,1.77171897,1.35605756,2.66801205,0.26634027,3.59751879,available_t,7070.000,1650.000,15257.000,122814612.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
